,file_id,record_id
0,0,0
2,0,4
3,0,5
4,0,7
5,0,9
6,0,10
7,0,12
8,0,16
9,0,17
12,0,20
13,0,21
14,0,22
16,0,24
17,0,25
18,0,27
21,1,1
25,1,6
28,1,10
29,1,11
30,1,13
37,1,23
38,1,24
39,1,25
42,2,2
44,2,4
46,2,10
48,2,13
49,2,15
50,2,16
51,2,17
53,2,20
54,2,21
56,2,25
59,2,28
61,3,2
62,3,3
65,3,8
68,3,14
70,3,17
71,3,18
74,3,26
76,3,28
78,3,31
79,3,32
80,4,0
83,4,8
84,4,10
86,4,13
87,4,14
88,4,16
89,4,17
91,4,19
92,4,21
93,4,22
97,4,27
98,4,28
99,4,29
100,5,0
101,5,1
105,5,9
107,5,13
108,5,14
109,5,15
111,5,18
113,5,20
115,5,22
117,5,24
119,5,27
122,6,4
123,6,5
124,6,8
125,6,11
127,6,13
130,6,20
132,6,24
133,6,25
135,6,27
138,6,30
140,7,1
141,7,2
144,7,5
145,7,7
146,7,8
149,7,16
150,7,17
151,7,18
152,7,19
153,7,22
159,7,30
160,8,1
162,8,4
169,8,17
170,8,18
171,8,19
178,8,28
180,9,0
182,9,2
183,9,4
184,9,5
188,9,13
189,9,14
192,9,18
193,9,19
194,9,21
195,9,22
196,9,23
197,9,24
198,9,25
200,10,0
203,10,6
204,10,7
207,10,12
208,10,13
209,10,14
210,10,15
211,10,17
213,10,19
214,10,21
216,10,23
217,10,24
219,10,26
221,11,5
222,11,9
226,11,15
227,11,16
228,11,21
230,11,23
231,11,24
236,11,33
239,11,37
243,12,6
245,12,8
246,12,9
252,12,17
254,12,19
255,12,20
256,12,22
258,12,25
260,13,0
261,13,1
262,13,2
264,13,5
265,13,6
267,13,8
268,13,9
270,13,11
271,13,14
274,13,18
275,13,20
276,13,21
277,13,22
279,13,25
280,14,3
281,14,4
282,14,6
283,14,7
285,14,9
286,14,10
289,14,18
293,14,26
294,14,29
295,14,30
297,14,33
298,14,35
299,14,36
300,15,0
301,15,1
303,15,4
306,15,9
307,15,10
308,15,11
309,15,12
311,15,15
314,15,19
316,15,21
317,15,23
319,15,26
322,16,4
323,16,6
324,16,7
325,16,9
327,16,11
329,16,13
330,16,14
331,16,15
332,16,16
335,16,22
336,16,23
337,16,24
339,16,26
340,17,0
343,17,8
346,17,11
348,17,13
349,17,14
352,17,21
354,17,23
356,17,26
358,17,28
359,17,29
360,18,4
361,18,5
362,18,11
363,18,16
364,18,17
365,18,18
366,18,19
367,18,22
368,18,24
370,18,27
371,18,28
372,18,29
375,18,36
377,18,39
380,19,1
384,19,6
385,19,9
388,19,13
389,19,14
392,19,20
394,19,22
396,19,25
398,19,28
405,20,8
406,20,10
407,20,15
410,20,21
411,20,22
413,20,24
414,20,25
416,20,28
420,21,2
422,21,4
423,21,5
425,21,8
427,21,11
428,21,12
429,21,14
434,21,23
435,21,24
438,21,27
442,22,3
444,22,5
445,22,6
446,22,7
447,22,9
448,22,10
453,22,15
456,22,19
460,23,0
462,23,4
463,23,5
467,23,16
468,23,19
470,23,21
471,23,22
472,23,23
474,23,30
475,23,33
478,23,36
481,24,4
482,24,6
484,24,12
486,24,14
489,24,20
491,24,22
492,24,25
493,24,26
494,24,30
495,24,31
497,24,33
499,24,35
505,25,11
508,25,15
509,25,17
517,25,31
519,25,33
520,26,3
521,26,6
526,26,12
527,26,13
530,26,16
531,26,17
532,26,19
533,26,22
534,26,24
536,26,26
542,27,5
546,27,12
547,27,13
549,27,16
552,27,20
553,27,21
556,27,24
558,27,27
560,28,1
561,28,2
564,28,6
565,28,7
566,28,9
568,28,11
569,28,12
571,28,14
573,28,17
576,28,21
578,28,23
579,28,24
586,29,11
587,29,12
588,29,14
589,29,16
591,29,18
594,29,23
595,29,26
596,29,27
598,29,29
599,29,30
603,30,3
606,30,9
608,30,11
609,30,12
611,30,15
612,30,17
613,30,19
616,30,23
619,30,26
620,31,2
621,31,4
624,31,11
628,31,19
629,31,20
630,31,21
631,31,23
632,31,24
633,31,25
634,31,26
636,31,29
637,31,30
639,31,32
641,32,1
643,32,4
644,32,6
645,32,8
647,32,11
648,32,12
649,32,13
653,32,23
659,32,30
661,33,1
663,33,4
665,33,6
666,33,7
669,33,15
671,33,18
676,33,29
677,33,30
678,33,31
681,35,3
684,35,7
685,35,8
686,35,12
688,35,17
690,35,20
694,35,24
696,35,27
698,35,29
701,36,4
703,36,7
706,36,12
707,36,13
709,36,15
711,36,19
717,36,30
718,36,31
719,36,32
720,37,0
721,37,1
723,37,6
727,37,10
728,37,14
731,37,21
732,37,23
733,37,24
738,37,29
741,38,2
742,38,3
745,38,15
747,38,20
748,38,21
750,38,24
751,38,25
752,38,26
756,38,33
757,38,34
758,38,35
761,39,1
763,39,4
764,39,5
765,39,8
766,39,9
767,39,11
771,39,16
772,39,17
775,39,22
776,39,23
780,40,0
781,40,1
783,40,8
784,40,12
787,40,17
788,40,18
791,40,22
792,40,23
801,41,3
802,41,4
806,41,9
807,41,10
808,41,11
810,41,15
812,41,20
814,41,22
816,41,24
817,41,25
820,43,0
822,43,4
823,43,6
825,43,11
829,43,17
830,43,18
831,43,19
833,43,21
834,43,22
835,43,23
836,43,24
838,43,27
842,44,3
843,44,5
845,44,8
846,44,10
848,44,13
849,44,14
851,44,16
852,44,18
854,44,20
856,44,23
858,44,25
859,44,26
860,45,1
861,45,2
862,45,3
863,45,6
864,45,7
866,45,9
867,45,11
868,45,12
869,45,13
870,45,16
871,45,17
872,45,18
878,45,27
879,45,28
880,46,0
882,46,4
884,46,6
885,46,7
887,46,10
888,46,15
890,46,18
892,46,21
895,46,24
896,46,26
897,46,27
898,46,28
899,46,29
900,47,0
901,47,1
903,47,7
905,47,10
906,47,11
907,47,12
908,47,13
909,47,14
913,47,24
914,47,25
915,47,26
918,47,32
919,47,33
921,48,5
922,48,8
928,48,17
931,48,21
935,48,26
938,48,30
939,48,31
940,50,0
941,50,1
942,50,3
945,50,10
947,50,15
948,50,17
954,50,27
957,50,31
958,50,32
960,51,0
963,51,4
965,51,6
967,51,13
968,51,15
971,51,19
972,51,21
977,51,29
979,51,31
980,52,1
981,52,2
982,52,4
983,52,5
987,52,9
988,52,10
990,52,14
993,52,18
995,52,21
997,52,23
998,52,24
999,52,25
1001,53,1
1003,53,5
1004,53,6
1005,53,7
1006,53,8
1007,53,9
1010,53,12
1011,53,13
1013,53,15
1014,53,16
1015,53,19
1017,53,23
1018,53,25
1019,53,26
1020,54,1
1024,54,8
1025,54,9
1026,54,11
1029,54,16
1031,54,19
1032,54,20
1033,54,21
1036,54,26
1037,54,27
1040,55,0
1041,55,1
1044,55,5
1045,55,6
1046,55,7
1050,55,16
1052,55,18
1053,55,20
1055,55,25
1057,55,28
1060,56,0
1061,56,3
1062,56,4
1063,56,6
1065,56,8
1068,56,11
1069,56,12
1070,56,14
1071,56,15
1075,56,19
1077,56,21
1079,56,23
1080,57,2
1086,57,12
1087,57,14
1091,57,21
1092,57,22
1093,57,25
1095,57,27
1096,57,28
1097,57,29
1098,57,30
1100,58,1
1103,58,4
1107,58,8
1108,58,10
1110,58,12
1111,58,15
1112,58,16
1115,58,20
1117,58,24
1119,58,27
1122,59,7
1124,59,14
1128,59,23
1131,59,27
1132,59,28
1133,59,29
1134,59,30
1136,59,33
1137,59,35
1138,59,36
1142,60,3
1143,60,4
1144,60,5
1145,60,6
1146,60,7
1147,60,10
1148,60,12
1149,60,13
1152,60,17
1153,60,18
1154,60,19
1155,60,20
1156,60,21
1158,60,23
1161,61,1
1162,61,3
1164,61,5
1165,61,6
1166,61,7
1168,61,9
1169,61,11
1170,61,13
1175,61,22
1176,61,23
1178,61,25
1179,61,26
1180,62,0
1181,62,2
1183,62,4
1185,62,8
1186,62,10
1191,62,23
1192,62,24
1193,62,25
1194,62,27
1197,62,30
1198,62,31
1200,63,0
1201,63,1
1207,63,18
1209,63,20
1211,63,22
1214,63,25
1216,63,29
1218,63,31
1219,63,32
1220,64,0
1221,64,1
1223,64,6
1225,64,11
1226,64,12
1228,64,14
1229,64,15
1230,64,17
1231,64,18
1232,64,19
1233,64,20
1234,64,21
1236,64,23
1238,64,26
1240,65,1
1246,65,16
1247,65,18
1249,65,20
1250,65,21
1252,65,23
1254,65,26
1257,65,29
1259,65,31
1261,66,3
1263,66,11
1264,66,13
1269,66,20
1270,66,21
1272,66,23
1273,66,25
1274,66,26
1276,66,29
1277,66,31
1278,66,32
1282,67,4
1285,67,14
1286,67,15
1290,67,25
1291,67,26
1294,67,31
1297,67,36
1298,67,38
1300,68,1
1301,68,2
1302,68,3
1303,68,4
1304,68,8
1307,68,11
1308,68,13
1310,68,17
1311,68,18
1312,68,19
1317,68,30
1318,68,31
1319,68,32
1320,69,0
1321,69,2
1322,69,3
1324,69,6
1325,69,9
1326,69,11
1327,69,12
1328,69,13
1329,69,17
1330,69,18
1332,69,22
1333,69,23
1334,69,24
1337,69,29
1338,69,30
1339,69,31
1340,70,1
1341,70,3
1344,70,8
1352,70,24
1354,70,26
1355,70,27
1356,70,28
1359,70,31
1361,71,2
1362,71,3
1364,71,6
1366,71,10
1368,71,13
1369,71,14
1370,71,16
1371,71,17
1373,71,22
1374,71,24
1375,71,25
1377,71,31
1378,71,33
1379,71,34
1382,72,4
1383,72,6
1385,72,10
1387,72,12
1389,72,15
1390,72,16
1391,72,17
1392,72,18
1395,72,26
1398,72,32
1402,73,3
1403,73,6
1405,73,9
1408,73,18
1409,73,19
1412,73,23
1413,73,24
1415,73,28
1416,73,29
1420,74,0
1421,74,1
1422,74,4
1423,74,8
1424,74,9
1425,74,11
1426,74,12
1427,74,13
1428,74,14
1431,74,17
1435,74,24
1436,74,26
1439,74,29
1441,75,2
1442,75,3
1443,75,6
1444,75,7
1445,75,8
1447,75,11
1450,75,14
1451,75,15
1452,75,16
1453,75,17
1454,75,18
1455,75,19
1458,75,23
1459,75,24
1460,76,0
1461,76,2
1462,76,3
1464,76,6
1465,76,7
1474,76,18
1475,76,22
1477,76,26
1478,76,27
1479,76,28
1480,77,1
